,0,1,2,3,4,5,6,7,8,9
0,vicocca,uriburu,ilnä,allslawischem,stirbet,tagcs,muttersprachlichen,interesse,cassirte,meuiuiue
1,erläutreu,bevignute,uachsitzeu,simbach,dahinstreckt,neudresdner,pferdegetrabe,urpolnischen,aufnähinen,militärdienstpflichtig
2,wettersichten,begleitsunktionen,pisek,nichtstiftsmäßigen,vuxlo,quatrö,rent-cammer,dahinstreckt,kwabbla,l-ben
3,austachelung,sonderungs,waisengeldern,zuwiedcr,laffit,winkler'sche,dieser/b,zlnverständliches,kuuu,johaunesverein
4,sabai,glasprismen,weitschichlige,p, + 0.001*, + 0.001*, + 0.000*, + 0.000*, + 0.000*, + 0.000*
5,bergwerkbetriebe,veilies-en,orakelspiel,schulgeschichtlichen,hauptzahlstellen,körperbeschaffenheit,neu-pommerns,ümter,staaiengebilde,nonslvnr
6,nouvälö,öäitiov,nuff,dcnmer,hieronymi,uriburu,schröder-devrient,stirbet,ucbcrblick,"ämnoe,rgtiqns"
7,meistersituationen,xrsuljsolivn,eismbahuunifvrm,regreß,musikzcitschrift,peer-stelle,gucide,peststofs,ck'oro,oldenburgifchen
8,kirchengeschiclmcher,hoym,t?cnvaliuna,lares,liebesintrigue,arnoldischc,lvvoro,verfassnngswcrk,lmu,texr
9,odras,aeichsspiegel,fortgereicht,tirolischcu,ansgeschlosseuen,gruudbuchs,luftlosen,mauchc,panos,splügcn
10,ktassen,ector,heilerer,gesprochein,bücherausgabe,erläutreu,vorherangeführten,werthzollsystem,seeähnliches,iimns
11,uugelchrten,parteimüdigkeit,halbasiatentums,verfolgungsgelüsten,fortreisten,sooi,mutmaßte,unterthürstehers,polarhöhe,lioubvvik
12,gt;rvi,gäruugs,unnatürlichster,amth,betrugsanklage,vonimtons,visitentoilette,lycealverein,negierungsdirector,gberst
13,wieucr,ornstbatte,wolkenwohnung,gefccht,demokratenfresser,hungerbleichen,dabeistehenden,meeresbedeckuug,hohenzollernliedes,kaliformen
14,durchschreite,abstvaetionen,darlege,melodiephrasen,geistige-beschränktheit,ivaldersee,verlorene,piztolaire,landcsbrandtasse,nnvrdentlichc
15,tnngsschreibern,flüchtlingslager,ilnä,tnanchesterthmns,entwickelungsgeschichte,schukwani,feldausrüstung,buchara,muttersprachlichen,hvstanzlci
16,walterhausen,allerklügsten,gebietsi,jndnsthal,schatzwechfel,novlev,eisenpiatten,prcsfe,unterhaltungszahlung,sesialinie
17,zzains,instanzenwegs,mlfblühenden,goldgepreßtcs,sechsuudvierzig,unschätzbarer,kaisergebirge,ameublcmem,stammesopposition,männlicher
18,to&lt,etiva,säöii,orientpläne,cvustituireu,uachsitzeu,die'klerikalen,simbach,truppenoffiziere,vlüthcjahren
19,abforderle,mrpau,nbhinge,aukeroräentlieb,ivaldersee,hofräthen,polizeichicanen,vssss,periodenweis,schwarzeubergs
20,gesmnmtinhalte,baron'sche,iuteressc,weibermanieren,ouvei,gt;oxa,vierbändigen,wehrpflichtsverhandlungen,kistoriynss,dentschlnnds
21,gesagtlj,stirnrnnzelnd,landwirtschnftsminister,achtmandates,uachsitzeu,eingeweidewurms,schlusmtikel,grcnzbvttn,verübet,tempelkultusgesetz
22,mlz'hl,sttdd,pietistischer,manieriertheit,intuition,korr,entbehrt,tafclsrcuden,kiimmt,parmet
23,bcrab,flachgehender,sergente,muztorin-o,niederlicgen,lichtflut,schukwani,lliuzlwttv,der„gaz,disputierende
24,doppelläufer,mehlteigscheibchen,jrrencmstaltsarzt,voreinschätzungs,ii)m,hneckels,bttckerjungen,nitzschwitz,niederlicgen,bewuudcrt
25,nuff,dissolnte,allznklcinlichcu,muttersprachlichen,blühendweißen,kugelu,ucberstnrzungen,wettersichten,eingeweidewurms,lehrer-collegiums
26,streitsüchtige,kriegsgcübter,nordwesthäfen,frcundschaftsversichernllgen,unempfindlichkeit,wettersahne,gelehrtenarbeiten,kiimmerlich,umtango,unchen
27,lcistnugen,frensdors,henri-charles,widmunge,näuberhandwerk,verteilteil,schwcizerstube,ncr,dartb,inivmm
28,kurschanh,entrsxi-suäriz,gwg,lzspersmo,galanteriewarenfabrikation,knopp,alltagsmcnschen,genealogien,zauderndcu,nncmce
29,chontenwahl,festrednern,einerleis,dissolnte,mlz'hl,geistigcu,zornsprühendes,mosaiksteine,lobens,wnffenansdrücke
30,necursweg,lobmühle,schlafburschen,gewerbevrdnungsnovelle,czarenreiches,betäiupsenden,zz»kliitiii,chassepotpatrvnen,ncgiernngsorgane,marteln
31,frensdors,hneckels,schnlze-berghof,doppelläufer,sammlungsgedanken,bttckerjungen,hoym,verteidigten,lcistnugen,flüchtlingslager
32,verteidigten,realwissenschaften,fäbuliereuden,siegesmille,zeremonienwcsen,graphologischer,vfficiell,gaöparo,"ü,uri",ivlomentexpo
33,kraußischcn,fehlschrittc,charadenreiches,moökowitischcn,maschum,maschinenmarkt,programmsonaten,hustete,cervara-fest,nngeborcn
34,spitalzug,soupors,odlorotdrirmit,eisenbahndirektor,gehept,piekfeiner,kriecheu,kreisha-uptmannsch,dahinsprcngcn,l'ictee
35,kvnzertschwärmer,geheimbenchten,nisz,volkscrzieher,irackes-loeietiss,lebens-arithmetik,zwaugsherrschaft,subjcriptionspreis,dahinschleichen,uliener
36,öäitiov,grüßlichere,einzellösuug,bautenministers,omdent,vergoldern,ncueuburg,grcnzbvttn,nachfrag,profanirt
37,wärmegrad,buschstangen,spitzbuden,tieffühlende,lebensläufen,hs-utk,wchrstencrund,dubown,dahabt,hospitalschiffe
38,ebersberger,küustlerzukunft,jugeuthal,curiatkomitten,rabmen,gesammtfriedhof,emandei,haslcy,voreinschätzungs,rinner
39,neichspostamte,fabelkreise,uftrnngen,alnlen,rinnlein,fachkundigsten,gesamtarbeiten,tiefspeenlative,ootum,orangsib
